movie Name,movie year,movie Rate,movie duration,movie certificate,movie URL
77. High and Low,1963,8.4,143,12,https://www.imdb.com/title/tt0057565/?ref_=chttp_i_77
80. Das Boot,1981,8.4,149,AA,https://www.imdb.com/title/tt0082096/?ref_=chttp_i_80
82. Your Name.,2016,8.4,106,12A,https://www.imdb.com/title/tt5311514/?ref_=chttp_i_82
85. 3 Idiots,2009,8.4,170,12A,https://www.imdb.com/title/tt1187043/?ref_=chttp_i_85
87. Capernaum,2018,8.4,126,15,https://www.imdb.com/title/tt8267604/?ref_=chttp_i_87
218. Maharaja,2024,8.4,141,15,https://www.imdb.com/title/tt26548265/?ref_=chttp_i_218
56. WALL·E,2008,8.4,98,U,https://www.imdb.com/title/tt0910970/?ref_=chttp_i_56
55. Apocalypse Now,1979,8.4,147,X,https://www.imdb.com/title/tt0078788/?ref_=chttp_i_55
158. The Best of Youth,2003,8.4,374,R,https://www.imdb.com/title/tt0346336/?ref_=chttp_i_158
79. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,95,A,https://www.imdb.com/title/tt0057012/?ref_=chttp_i_79
84. American Beauty,1999,8.3,122,18,https://www.imdb.com/title/tt0169547/?ref_=chttp_i_84
83. Princess Mononoke,1997,8.3,133,PG,https://www.imdb.com/title/tt0119698/?ref_=chttp_i_83
81. Braveheart,1995,8.3,178,15,https://www.imdb.com/title/tt0112573/?ref_=chttp_i_81
76. Toy Story,1995,8.3,81,PG,https://www.imdb.com/title/tt0114709/?ref_=chttp_i_76
78. Oldboy,2003,8.3,120,18,https://www.imdb.com/title/tt0364569/?ref_=chttp_i_78
75. Good Will Hunting,1997,8.3,126,15,https://www.imdb.com/title/tt0119217/?ref_=chttp_i_75
91. Requiem for a Dream,2000,8.3,102,18,https://www.imdb.com/title/tt0180093/?ref_=chttp_i_91
92. Star Wars: Episode VI - Return of the Jedi,1983,8.3,131,U,https://www.imdb.com/title/tt0086190/?ref_=chttp_i_92
93. Toy Story 3,2010,8.3,103,U,https://www.imdb.com/title/tt0435761/?ref_=chttp_i_93
94. The Hunt,2012,8.3,115,15,https://www.imdb.com/title/tt2106476/?ref_=chttp_i_94
95. Ikiru,1952,8.3,143,A,https://www.imdb.com/title/tt0044741/?ref_=chttp_i_95
96. Eternal Sunshine of the Spotless Mind,2004,8.3,108,15,https://www.imdb.com/title/tt0338013/?ref_=chttp_i_96
97. Incendies,2010,8.3,131,15,https://www.imdb.com/title/tt1255953/?ref_=chttp_i_97
98. The Apartment,1960,8.3,125,A,https://www.imdb.com/title/tt0053604/?ref_=chttp_i_98
99. Lawrence of Arabia,1962,8.3,227,PG,https://www.imdb.com/title/tt0056172/?ref_=chttp_i_99
100. 2001: A Space Odyssey,1968,8.3,149,U,https://www.imdb.com/title/tt0062622/?ref_=chttp_i_100
101. Reservoir Dogs,1992,8.3,99,18,https://www.imdb.com/title/tt0105236/?ref_=chttp_i_101
102. Scarface,1983,8.3,170,18,https://www.imdb.com/title/tt0086250/?ref_=chttp_i_102
103. Heat,1995,8.3,170,15,https://www.imdb.com/title/tt0113277/?ref_=chttp_i_103
104. Double Indemnity,1944,8.3,107,A,https://www.imdb.com/title/tt0036775/?ref_=chttp_i_104
105. North by Northwest,1959,8.3,136,A,https://www.imdb.com/title/tt0053125/?ref_=chttp_i_105
